prioridade_ml_hibrida;score_hibrido;probabilidade_ml;score;valor_ponderado_hibrido;prioridade;valor_ponderado;valor_potencial;id_oportunidade;etapa;vendedor;gerente;regional;conta;setor;produto;idade_dias;justificativa;riscos_principais;proxima_acao
C - Nutrir / validar;53,9;0,5256158886262852;55,0;29,64;C - Nutrir / validar;30,25;55;OP-02347;Prospecção;Felipe Queiroz;Débora Santos;Centro;Vereda Sistemas Ltda.;varejo;Módulo Horizonte Especial;;score sustentado principalmente pela média histórica do funil;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,8;0,4247041453293189;63,1;14401,18;B - Trabalhar nesta semana;16890,61;26768;OP-04083;Em negociação;Larissa Santos;Caio Galvão;Oeste;Ypê Logística Ltda.;saúde;Plataforma Delta 500;205,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,8;0,42045798011998464;63,5;2949,32;B - Trabalhar nesta semana;3481,07;5482;OP-04994;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Íntegra Comercial Ltda.;tecnologia;Solução Atlas Plus Profissional;178,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,8;0,418466813267031;63,6;2593,7;B - Trabalhar nesta semana;3066,16;4821;OP-01512;Em negociação;Leonardo Henriques;Amanda Azevedo;Leste;Solaris Comunicação Ltda.;telecomunicações;Solução Atlas Profissional;144,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,8;0,43473576076743636;62,3;589,65;B - Trabalhar nesta semana;682,81;1096;OP-07222;Em negociação;Débora Medeiros;Gustavo Ferreira;Oeste;Fênix Sistemas Ltda.;financeiro;Solução Atlas Plus Essencial;232,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,8;0,5175164594138321;55,5;295,9;C - Nutrir / validar;305,25;550;OP-06059;Prospecção;Sofia Ishikawa;Eduardo Macedo;Centro;Íntegra Comercial Ltda.;tecnologia;Solução Atlas Essencial;;score sustentado principalmente pela média histórica do funil;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,8;0,4393919897440972;61,9;29,59;B - Trabalhar nesta semana;34,04;55;OP-01450;Em negociação;Leonardo Henriques;Amanda Azevedo;Leste;Pampas Comunicação Ltda.;marketing;Módulo Horizonte Especial;297,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,8;0,44350372962194845;61,6;29,59;B - Trabalhar nesta semana;33,88;55;OP-00368;Em negociação;Isabela Farias;Eduardo Macedo;Centro;Mirante Consultoria Ltda.;tecnologia;Módulo Horizonte Especial;153,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,42045798011998464;63,3;2943,83;B - Trabalhar nesta semana;3470,11;5482;OP-03477;Em negociação;Caio Dias;Eduardo Macedo;Centro;Elo Telecom Ltda.;recursos humanos;Solução Atlas Plus Profissional;166,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,414745002185173;63,7;2588,88;B - Trabalhar nesta semana;3070,98;4821;OP-01197;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Pampas Comunicação Ltda.;marketing;Solução Atlas Profissional;243,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,418466813267031;63,4;2588,88;B - Trabalhar nesta semana;3056,51;4821;OP-01945;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Solaris Comunicação Ltda.;telecomunicações;Solução Atlas Profissional;212,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,42141543917181634;63,2;2588,88;B - Trabalhar nesta semana;3046,87;4821;OP-02749;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Solaris Comunicação Ltda.;telecomunicações;Solução Atlas Profissional;322,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,42096557150862857;63,2;2588,88;B - Trabalhar nesta semana;3046,87;4821;OP-05119;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Neblina Software Ltda.;software;Solução Atlas Profissional;275,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,42096557150862857;63,2;2588,88;B - Trabalhar nesta semana;3046,87;4821;OP-08255;Em negociação;Leonardo Henriques;Amanda Azevedo;Leste;Atlas Digital Ltda.;saúde;Solução Atlas Profissional;257,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,4317653008607955;62,3;1822,04;B - Trabalhar nesta semana;2113,84;3393;OP-00742;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Safira Software Ltda.;saúde;Módulo Horizonte Avançado;231,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,5161824053758602;55,4;588,55;C - Nutrir / validar;607,18;1096;OP-03455;Prospecção;Helena Menezes;Eduardo Macedo;Centro;Urbana Telecom Ltda.;varejo;Solução Atlas Plus Essencial;;score sustentado principalmente pela média histórica do funil;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,7;0,4352982310222095;62,0;29,54;B - Trabalhar nesta semana;34,1;55;OP-02666;Em negociação;Priscila Ramos;Amanda Azevedo;Leste;Harmonia Participações Ltda.;entretenimento;Módulo Horizonte Especial;261,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,4352982310222095;62,0;29,54;B - Trabalhar nesta semana;34,1;55;OP-01193;Em negociação;Ana Almeida;Débora Santos;Centro;Harmonia Participações Ltda.;entretenimento;Módulo Horizonte Especial;153,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,7;0,44350372962194845;61,4;29,54;B - Trabalhar nesta semana;33,77;55;OP-08327;Em negociação;Priscila Ramos;Amanda Azevedo;Leste;Mirante Consultoria Ltda.;tecnologia;Módulo Horizonte Especial;358,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,41883711541120133;63,1;2938,35;B - Trabalhar nesta semana;3459,14;5482;OP-04650;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Atena Participações Ltda.;financeiro;Solução Atlas Plus Profissional;290,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,42045798011998464;63,0;2938,35;B - Trabalhar nesta semana;3453,66;5482;OP-03907;Em negociação;Caio Dias;Eduardo Macedo;Centro;Metrópole Digital Ltda.;serviços;Solução Atlas Plus Profissional;145,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4131378467388146;63,6;2584,06;B - Trabalhar nesta semana;3066,16;4821;OP-01822;Em negociação;Otávio Pinto;Eduardo Macedo;Centro;Harmonia Participações Ltda.;entretenimento;Solução Atlas Profissional;148,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%); valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4193441659083208;63,2;2584,06;B - Trabalhar nesta semana;3046,87;4821;OP-06694;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Farol Saúde Ltda.;financeiro;Solução Atlas Profissional;164,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,42096557150862857;63,1;2584,06;B - Trabalhar nesta semana;3042,05;4821;OP-01738;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Atlas Digital Ltda.;saúde;Solução Atlas Profissional;191,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,42096557150862857;63,1;2584,06;B - Trabalhar nesta semana;3042,05;4821;OP-02342;Em negociação;Isabela Farias;Eduardo Macedo;Centro;Valência Consultoria Ltda.;tecnologia;Solução Atlas Profissional;158,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,42096557150862857;63,0;2584,06;B - Trabalhar nesta semana;3037,23;4821;OP-05993;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Tropical Saúde Ltda.;software;Solução Atlas Profissional;192,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,42615039542428024;62,6;1818,65;B - Trabalhar nesta semana;2124,02;3393;OP-07578;Em negociação;Débora Medeiros;Gustavo Ferreira;Oeste;Domínio Saúde Ltda.;varejo;Módulo Horizonte Avançado;417,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,43603259371146924;61,7;1818,65;B - Trabalhar nesta semana;2093,48;3393;OP-01413;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Ipanema Logística Ltda.;financeiro;Módulo Horizonte Avançado;324,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4262682653817139;62,5;587,46;B - Trabalhar nesta semana;685,0;1096;OP-00843;Em negociação;Rafael Ferreira;Gustavo Ferreira;Oeste;Safira Software Ltda.;saúde;Solução Atlas Plus Essencial;223,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,43306672817230724;62,1;294,8;B - Trabalhar nesta semana;341,55;550;OP-07963;Em negociação;Sofia Ishikawa;Eduardo Macedo;Centro;Sinapse Soluções Ltda.;financeiro;Solução Atlas Essencial;164,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4329136249220946;62,0;294,8;B - Trabalhar nesta semana;341,0;550;OP-08356;Em negociação;Caio Dias;Eduardo Macedo;Centro;Porto Telecom Ltda.;software;Solução Atlas Essencial;160,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4352982310222095;61,9;29,48;B - Trabalhar nesta semana;34,04;55;OP-04384;Em negociação;Isabela Farias;Eduardo Macedo;Centro;Bravura Financeira Ltda.;recursos humanos;Módulo Horizonte Especial;142,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (69% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4352982310222095;61,8;29,48;B - Trabalhar nesta semana;33,99;55;OP-00687;Em negociação;Fernanda Valente;Débora Santos;Centro;Zênite Serviços Ltda.;entretenimento;Módulo Horizonte Especial;161,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4382760729466091;61,6;29,48;B - Trabalhar nesta semana;33,88;55;OP-05862;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Boreal Varejo Ltda.;marketing;Módulo Horizonte Especial;151,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,6;0,4382760729466091;61,6;29,48;B - Trabalhar nesta semana;33,88;55;OP-01813;Em negociação;Larissa Santos;Caio Galvão;Oeste;Lumina Comunicação Ltda.;saúde;Módulo Horizonte Especial;149,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,4166771800966465;63,1;2932,87;B - Trabalhar nesta semana;3459,14;5482;OP-05896;Em negociação;Ana Almeida;Débora Santos;Centro;Vértice Sistemas Ltda.;saúde;Solução Atlas Plus Profissional;140,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,4193441659083208;63,0;2579,24;B - Trabalhar nesta semana;3037,23;4821;OP-05299;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Gênesis Indústria Ltda.;financeiro;Solução Atlas Profissional;205,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,42096557150862857;62,9;2579,24;B - Trabalhar nesta semana;3032,41;4821;OP-00215;Em negociação;Isabela Farias;Eduardo Macedo;Centro;Alvorada Digital Ltda.;software;Solução Atlas Profissional;161,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,4217136541973897;62,8;1815,26;B - Trabalhar nesta semana;2130,8;3393;OP-06768;Em negociação;Gabriela Teixeira;Amanda Azevedo;Leste;Zênite Serviços Ltda.;entretenimento;Módulo Horizonte Avançado;206,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,5003101838306019;56,3;1815,26;C - Nutrir / validar;1910,26;3393;OP-02571;Prospecção;Caio Dias;Eduardo Macedo;Centro;Safira Software Ltda.;saúde;Módulo Horizonte Avançado;;valor potencial relevante sem dominar sozinho o score;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,5;0,4278463872322722;62,2;586,36;B - Trabalhar nesta semana;681,71;1096;OP-04255;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Safira Software Ltda.;saúde;Solução Atlas Plus Essencial;333,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,4230471387584082;62,6;294,25;B - Trabalhar nesta semana;344,3;550;OP-02443;Em negociação;Fernanda Valente;Débora Santos;Centro;Norte Soluções Ltda.;tecnologia;Solução Atlas Essencial;149,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,4250259903470812;62,5;294,25;B - Trabalhar nesta semana;343,75;550;OP-04350;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Pampas Comunicação Ltda.;marketing;Solução Atlas Essencial;248,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,4320740893242865;62,0;294,25;B - Trabalhar nesta semana;341,0;550;OP-06429;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Mirante Consultoria Ltda.;tecnologia;Solução Atlas Essencial;313,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,5;0,5071250603427097;55,8;294,25;C - Nutrir / validar;306,9;550;OP-00774;Prospecção;Felipe Queiroz;Débora Santos;Centro;Delta Sistemas Ltda.;varejo;Solução Atlas Essencial;;score sustentado principalmente pela média histórica do funil;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,5;0,5097007640914972;55,6;294,25;C - Nutrir / validar;305,8;550;OP-00684;Prospecção;Mariana Lima;Débora Santos;Centro;Ypê Logística Ltda.;saúde;Solução Atlas Essencial;;score sustentado principalmente pela média histórica do funil;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,5;0,44439861868095015;61,0;29,42;B - Trabalhar nesta semana;33,55;55;OP-07782;Em negociação;Mariana Lima;Débora Santos;Centro;Metrópole Digital Ltda.;serviços;Módulo Horizonte Especial;153,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4163996024754013;63,0;2574,41;B - Trabalhar nesta semana;3037,23;4821;OP-02772;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Farol Saúde Ltda.;financeiro;Solução Atlas Profissional;328,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,42096557150862857;62,6;2574,41;B - Trabalhar nesta semana;3017,95;4821;OP-03282;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Alvorada Digital Ltda.;software;Solução Atlas Profissional;219,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,42096557150862857;62,6;2574,41;B - Trabalhar nesta semana;3017,95;4821;OP-05413;Em negociação;Isabela Farias;Eduardo Macedo;Centro;Quartzo Participações Ltda.;saúde;Solução Atlas Profissional;160,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,42096557150862857;62,6;2574,41;B - Trabalhar nesta semana;3017,95;4821;OP-00428;Em negociação;Isabela Farias;Eduardo Macedo;Centro;Quartzo Participações Ltda.;saúde;Solução Atlas Profissional;160,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4228998104599502;62,5;1811,86;B - Trabalhar nesta semana;2120,62;3393;OP-00196;Em negociação;Fernanda Valente;Débora Santos;Centro;Farol Saúde Ltda.;financeiro;Módulo Horizonte Avançado;151,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4885304152896009;57,2;1811,86;C - Nutrir / validar;1940,8;3393;OP-04547;Prospecção;Felipe Queiroz;Débora Santos;Centro;Quasar Serviços Ltda.;varejo;Módulo Horizonte Avançado;;valor potencial relevante sem dominar sozinho o score;"ainda está em prospecção, então precisa validar necessidade e timing; dado incompleto: ainda sem data de engajamento";Nutrir com cadência leve e buscar novo sinal de intenção antes de aumentar o esforço comercial.
C - Nutrir / validar;53,4;0,4283919632017396;62,1;293,7;B - Trabalhar nesta semana;341,55;550;OP-00290;Em negociação;Gabriela Teixeira;Amanda Azevedo;Leste;Xingu Comercial Ltda.;saúde;Solução Atlas Essencial;222,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4352982310222095;61,5;29,37;B - Trabalhar nesta semana;33,83;55;OP-03199;Em negociação;Leonardo Henriques;Amanda Azevedo;Leste;Lumina Comunicação Ltda.;saúde;Módulo Horizonte Especial;302,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4352982310222095;61,5;29,37;B - Trabalhar nesta semana;33,83;55;OP-06489;Em negociação;Ana Almeida;Débora Santos;Centro;Waypoint Software Ltda.;marketing;Módulo Horizonte Especial;166,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4352982310222095;61,5;29,37;B - Trabalhar nesta semana;33,83;55;OP-07616;Em negociação;Ana Almeida;Débora Santos;Centro;Waypoint Software Ltda.;marketing;Módulo Horizonte Especial;159,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4382760729466091;61,2;29,37;B - Trabalhar nesta semana;33,66;55;OP-03156;Em negociação;Larissa Santos;Caio Galvão;Oeste;Boreal Varejo Ltda.;marketing;Módulo Horizonte Especial;351,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,4;0,4382760729466091;61,2;29,37;B - Trabalhar nesta semana;33,66;55;OP-06839;Em negociação;Larissa Santos;Caio Galvão;Oeste;Boreal Varejo Ltda.;marketing;Módulo Horizonte Especial;330,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,4094370515152479;63,4;2569,59;B - Trabalhar nesta semana;3056,51;4821;OP-07590;Em negociação;Rafael Ferreira;Gustavo Ferreira;Oeste;Riviera Financeira Ltda.;tecnologia;Solução Atlas Profissional;353,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,4094636237875563;63,4;1808,47;B - Trabalhar nesta semana;2151,16;3393;OP-04245;Em negociação;Rafael Ferreira;Gustavo Ferreira;Oeste;Estrela Indústria Ltda.;varejo;Módulo Horizonte Avançado;197,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (69% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,4233096909144398;62,3;1808,47;B - Trabalhar nesta semana;2113,84;3393;OP-07191;Em negociação;Mariana Lima;Débora Santos;Centro;Nativa Varejo Ltda.;tecnologia;Módulo Horizonte Avançado;161,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,4262682653817139;62,0;584,17;B - Trabalhar nesta semana;679,52;1096;OP-08610;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Safira Software Ltda.;saúde;Solução Atlas Plus Essencial;183,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,42096557150862857;62,4;293,15;B - Trabalhar nesta semana;343,2;550;OP-05810;Em negociação;Leonardo Henriques;Amanda Azevedo;Leste;Bravura Financeira Ltda.;recursos humanos;Solução Atlas Essencial;277,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (69% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,4218607000798087;62,4;293,15;B - Trabalhar nesta semana;343,2;550;OP-01814;Em negociação;Gabriela Teixeira;Amanda Azevedo;Leste;Norte Soluções Ltda.;tecnologia;Solução Atlas Essencial;245,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
C - Nutrir / validar;53,3;0,4283919632017396;61,9;293,15;B - Trabalhar nesta semana;340,45;550;OP-05501;Em negociação;Gabriela Teixeira;Amanda Azevedo;Leste;Aliança Indústria Ltda.;entretenimento;Solução Atlas Essencial;404,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
